"KEDI_ID","KEDI_REGIONS","KEDI_KODS","KEDI_NOSAUKUMS","KEDI_IR_AKTIVS","KEDI_SECTION"
"1","AR","31011","Daugavpils Iec.1","1","Daugavpils"
"2","AR","31012","Daugavpils Iec.2","1","Daugavpils"
"3","AR","31013","Daugavpils Iec.3","1","Daugavpils"
"4","AR","31014","Daugavpils Iec.4","1","Daugavpils"
"5","AR","31015","Daugavpils Iec.5","1","Daugavpils"
"6","AR","31016","Daugavpils Iec.6","1","Daugavpils"
"7","AR","31019","Daugavpils nod./Stihija","1","Daugavpils"
"8","AR","31031","Rēzekne Iec.1","1","Rēzekne"
"9","AR","31032","Rēzekne Iec.2","1","Rēzekne"
"10","AR","31033","Rēzekne Iec.3","1","Rēzekne"
"11","AR","31034","Rēzekne Iec.4","1","Rēzekne"
"12","AR","31035","Rēzekne Iec.5","1","Rēzekne"
"13","AR","31039","Rēzeknes nod./Stihija","1","Rēzekne"
"14","AR","31041","Krāslava Iec.1","1","Krāslava"
"15","AR","31042","Krāslava Iec.2","1","Krāslava"
"16","AR","31043","Krāslava Iec.3","1","Krāslava"
"17","AR","31044","Krāslava Iec.4","1","Krāslava"
"18","AR","31049","Krāslavas nod./Stihija","1","Krāslava"
"19","AR","31051","Preiļi Iec.1","1","Preiļi"
"20","AR","31052","Preiļi Iec.2","1","Preiļi"
"21","AR","31053","Preiļi Iec.3","1","Preiļi"
"22","AR","31059","Preiļu nod./Stihija","1","Preiļi"
"23","AR","31061","Ludza Iec.1","1","Ludza"
"24","AR","31062","Ludza Iec.2","1","Ludza"
"25","AR","31063","Ludza Iec.3","1","Ludza"
"26","AR","31064","Ludza Iec.4","1","Ludza"
"27","AR","31069","Ludzas nod./Stihija","1","Ludza"
"28","CR","32011","Jugla Iec.1","1","Jugla"
"29","CR","32012","Jugla Iec.2","1","Jugla"
"30","CR","32013","Jugla Iec.3","1","Jugla"
"31","CR","32019","Juglas nod./Stihija","1","Jugla"
"32","CR","32021","Ķekava Iec.1","1","Ķekava"
"33","CR","32022","Ķekava Iec.2","1","Ķekava"
"34","CR","32023","Ķekava Iec.3","1","Ķekava"
"35","CR","32029","Ķekavas nod./Stihija","1","Ķekava"
"36","CR","32031","Piejūra Iec.1","1","Piejūra"
"37","CR","32032","Piejūra Iec.2","1","Piejūra"
