"KKAL_ID","KKAL_GRUPAS_KODS","KKAL_SHIFRS","KKAL_NOSAUKUMS","KKAL_APRAKSTS","KKAL_NORMATIVS","KKAL_MERVIENIBA","KKAL_IR_AKTIVS","KKAL_FIZ_RADIJUMS","KKAL_KOEFICENT","KKAL_KEDI_SECTION","KKAL_KWOI_ID","KKAL_PLAN_PRICE","KKAL_NOT_PLAN_PRICE","KKAL_1","KKAL_2","KKAL_3","KKAL_4","KKAL_5","KKAL_6","KKAL_7","KKAL_8","KKAL_9","KKAL_10"
"1","10","10011","Kabeļa AMKA 3x25+35 montāža","Darbos ietilpst: AMKA montāža, regulēšana","32.00","km","0","6z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2","10","10021","Kabeļa AMKA 3x35+50 montāža","Darbos ietilpst: AMKA montāža, regulēšana","34.00","km","0","6z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3","10","10031","Kabeļa AMKA 3x50+70 montāža","Darbos ietilpst: AMKA montāža, regulēšana","36.00","km","0","6z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"4","10","10041","Kabeļa AMKA 3x70+95 montāža","Darbos ietilpst: AMKA montāža, regulēšana","38.00","km","0","6z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5","10","10051","Kabeļa AMKA 3x120+95 montāža","Darbos ietilpst: AMKA montāža, regulēšana","41.00","km","0","6z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6","10","10100","Kabeļa AMKA  mont. starpbalstā","Darbos ieilpst: visi  darbi, kas nepieciešami, lai piekarkabeli AMKA uzmontētu un pievienotu balstā, ieskaitot armatūras montāžu. Kalkulāciju izmanto pie balstu maiņas esošā AMKA līnijā","2.10","balsts","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","10","10120","Kabeļa AMKA  mont. pagrieziena balstā","Darbos ieilpst: visi  darbi, kas nepieciešami, lai piekarkabeli AMKA uzmontētu un pievienotu balstā, ieskaitot armatūras montāžu. Kalkulāciju izmanto pie balstu maiņas esošā AMKA līnijā","4.20","balsts","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"8","10","10200","Kabeļa AMKA  mont. gala balstā","Darbos ieilpst: visi  darbi, kas nepieciešami, lai piekarkabeli AMKA uzmontētu un pievienotu balstā, ieskaitot armatūras montāžu. Kalkulāciju izmanto pie balstu maiņas esošā AMKA līnijā","2.10","balsts","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"9","10","10500","AMKAs kabeļa  savienošana","Darbos ietilpst: piekarkabeļa savienojuma izveide","0.80","savienoj.","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10","10","12111","Māju pievadu ar AMKA izbūve","Darbos ietilpst: kabeļa piestiprināšana pie balsta ar pievienošanu līnijai un motāža pie mājas sienas","4.20","pievads","1","6z","0.03",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
